OBJECTID,GLOBAL_ID,AIRPORT_ID,DESIGNATOR,LENGTH,WIDTH,DIM_UOM,COMP_CODE,LIGHTACTV,LIGHTINTNS,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC,Shape__Area,Shape__Length
8628,33A0676B-9B15-4E25-A98D-6145AAF4F800,00B07776-54CB-46D8-A77F-131F2FDFADE3,09/27,2000,100,FT,GRASS,,,0,0,0,0,0,0,2.05626E-06,0.01553804
2820,F81A1534-C0AC-4220-9A6D-69412B6506AE,00B3C6D8-446B-46DE-87A3-2ABC8236FEB3,15/33,3000,300,FT,DIRT,,,0,0,0,0,0,0,0.000275651,0.668320574
4437,D7F382B2-7C8C-4AD6-9A8B-2D94BD97F4F6,00B6C055-636C-4906-A1CA-100FD0A83CA3,05/23,3202,50,FT,ASPH,2,LIM,0,0,1,0,0,0,1.42551E-06,0.019598497
4438,6102DF0C-A3D8-4CCF-B01C-13EA90A5FE33,00B6C055-636C-4906-A1CA-100FD0A83CA3,11/29,4400,75,FT,ASPH,2,LIM,0,0,1,0,0,0,2.93863E-06,0.028691278
19666,3186CABD-A069-431D-9CFA-45C0F04E4C76,00B70B07-4317-4BF0-AB6D-70F41DD09FDB,04/22,5500,100,FT,CONC,2,LIM,0,0,1,1,0,0,5.0466E-06,0.03422088
4489,2E448885-6BD9-4344-93A5-70E7BCDF4CD2,00B91C2E-41BE-4BE2-A348-D4CE32F8A3F7,15/33,2100,300,FT,GRASS,,,0,0,0,0,0,0,0.000275651,0.668320574
1859,DD4285C4-7220-472E-8589-B3FBD3AD71D9,00BA0955-B91B-452B-B0CD-D68AB4F62767,H1,40,40,FT,CONC,2,,0,0,0,0,0,0,1.47465E-08,0.000488172
6912,DF2CFFE6-0ED8-4AC4-AE56-2428A15C1531,00C1DBC3-A2F6-4285-ABB2-ADB6A3E2F84B,N/S,3700,100,FT,GRASS,3,,0,0,0,0,0,0,3.51488E-06,0.021014011
10308,B7E130A7-BDCE-4B4D-ACB8-0111FAD10213,00C22E2D-5683-4F42-9DB5-44978C4C41DD,01/19,2000,300,FT,GRASS,,,0,0,0,0,0,0,0.000275651,0.668320574
24,09E8D2CB-7842-483F-B431-99C1B2832638,00C527EC-A14C-4680-8933-59FC7A8F1755,H1,50,50,FT,ASPH,,,0,0,0,0,0,0,3.87954E-08,0.000840864
9298,FE309B7C-0EA8-4009-8D47-D1DCEF48FA5C,00CBB933-B9A0-45A3-999E-3998EB62C8AC,17/35,5000,300,FT,GRASS,,,0,0,0,0,0,0,0.000275651,0.668320574
17985,AD10A4CB-D540-48E3-BA09-FA65084B3485,00CDA799-453D-4E7D-9478-63F8B27536AD,01/19,1900,300,FT,GRASS,,,0,0,0,0,0,0,0.000275651,0.668320574
22233,AC92CF0C-2B8E-488A-A24E-7AFDF0B81C41,00D0C90C-35A8-4E3C-9F66-628FDDBDD1CC,18/36,1927,60,FT,GRASS,,,0,0,0,0,0,0,1.07063E-06,0.01099125
14337,A010075C-8E53-4AA0-96A0-40420360DD41,00D7218E-8D46-4710-BD53-EF26EC4EE696,H1,44,44,FT,ASPH,,,0,0,0,0,0,0,1.91947E-08,0.000559415
4668,0FB2EDA4-1D5D-42DE-9933-BD2C4800AC18,00D9CDC5-17D0-4D28-83B8-D4729CFE83CA,04/22,3200,300,FT,GRASS,,,0,0,0,0,0,0,0.000275651,0.668320574
1774,423481BE-8F5C-4A98-821F-1A5FBB1564CE,00DAFCAE-20E4-4450-ABD6-E3DCFA561168,H1,58,55,FT,MATS,3,OTHER,0,0,0,0,0,0,2.9032E-08,0.000683079
17091,6A9C942F-8888-4F0C-A785-9DA78BF9DAF2,00E210F8-B4CC-449E-B7B9-1E4C70D4B6A1,N/S,3800,300,FT,DIRT,,,0,0,0,0,0,0,0.000275651,0.668320574
19228,D72532D0-1409-43AA-AB95-5FEA4BE95EA4,00E2D456-DC8E-4634-91BA-D7CF0AF7C533,04/22,3500,300,FT,ASPH,0,LIL,0,0,1,0,0,0,0.000275651,0.668320574
20811,59825E5C-F05A-4278-9B49-6AE3BEF7C6CB,00E6C57F-2FE5-4D91-BF94-D1A3D9BFCCD9,03/21,4750,300,FT,DIRT,,,0,0,0,0,0,0,0.000275651,0.668320574
20812,B0FBDEA1-6DB5-403A-A5E3-FD310F304016,00E6C57F-2FE5-4D91-BF94-D1A3D9BFCCD9,14/32,4200,300,FT,DIRT,,,0,0,0,0,0,0,0.000275651,0.668320574
18207,D6EDE6C8-C68C-4E9D-B5C3-3B0414BE1CA0,00EF60A9-6E9F-4FD5-9043-0555C2C9F13E,04/22,1390,300,FT,TURF+GRVL,,,0,0,0,0,0,0,0.000275651,0.668320574
12836,AA6C5D76-94DA-461B-B5CF-D3BED97FDE1A,00F1B197-3B0D-4F04-BD36-8D174ED3FE2E,18/36,2450,300,FT,GRASS,,,0,0,0,0,0,0,0.000275651,0.668320574
17870,FC3354C9-AA85-4B5A-AF17-9AE5A50BE72D,00F24BAD-3891-42BB-BFD6-6D756B749F94,04/22,5333,150,FT,CONC,2,LIM,0,0,1,1,0,0,7.53019E-06,0.032777635
10979,C86FA00B-7FBA-488B-9C4F-EA8886B4AAC0,00F2B7F0-165B-4554-9DEB-1278E5BF9656,17L/35R,1850,300,FT,GRASS,,,0,0,0,0,0,0,0.000275651,0.668320574
10980,AC04332B-CD47-4F05-8FBE-003D7838E4A3,00F2B7F0-165B-4554-9DEB-1278E5BF9656,17R/35L,1550,300,FT,GRASS,,,0,0,0,0,0,0,0.000275651,0.668320574
1222,36C5C83E-528B-4717-9749-D180BB7CB97E,00F47D04-D1DC-4ABD-8301-48A2F93CAFB8,18/36,4021,75,FT,ASPH,2,LIM,0,0,1,0,0,0,2.75895E-06,0.02259403
10821,B58A10F1-1A85-4A76-8495-6AAEEEA7A951,00F8DAC0-8A51-48E7-BE88-8342D6989F5F,08/26,2234,100,FT,GRASS,,,0,0,0,0,0,0,2.5127E-06,0.018881559
10822,66B46202-873D-4D4E-BA9F-5F480BD53456,00F8DAC0-8A51-48E7-BE88-8342D6989F5F,17/35,2533,100,FT,GRASS,,,0,0,0,0,0,0,2.84933E-06,0.014709495
21534,4B685ECC-E3DC-4436-99CD-4A6CF0D7FD90,00F9631B-05A3-4BE7-A498-9BA59F2CE24F,15W/33W,4000,300,FT,WATER,,,0,0,0,0,0,0,0.000275651,0.668320574
21553,CEAE5C6C-1399-4209-B3B1-3A0C619B899E,00FC7B27-3BE8-478F-AD49-069D9D863737,12W/30W,7800,300,FT,WATER,,,0,0,0,0,0,0,0.000275651,0.668320574
