country,country_name,dec_latitude,dec_longitude
BRA,Brazil,-10.0,-55.0
SRB,Serbia,44.0,21.0
BLZ,Belize,17.25,-88.75
MMR,Myanmar,22.0,98.0
BTN,Bhutan,27.5,90.5
VEN,Venezuela,8.0,-66.0
LBR,Liberia,6.5,-9.5
JAM,Jamaica,18.25,-77.5
POL,Poland,52.0,20.0
CYM,Cayman Islands,19.3133,-81.2546
BRN,Brunei,4.5,114.66666666
COM,Comoros,-12.16666666,44.25
GUM,Guam,13.46666666,144.78333333
TON,Tonga,-20.0,-175.0
KIR,Kiribati,1.41666666,173.0
GHA,Ghana,8.0,-2.0
TCD,Chad,15.0,19.0
ZWE,Zimbabwe,-20.0,30.0
MAF,Saint Martin,18.0708,63.0501
MNG,Mongolia,46.0,105.0
PRT,Portugal,39.5,-8.0
ASM,American Samoa,-14.33333333,-170.0
COG,Republic of the Congo,-1.0,15.0
BEL,Belgium,50.83333333,4.0
ISR,Israel,31.47,35.13
NZL,New Zealand,-41.0,174.0
NIC,Nicaragua,13.0,-85.0
AIA,Anguilla,18.25,-63.16666666
